"","IDW","IDD","IDC","COMMUNE","SUP","POP","EPH","EHS","PLC","SS","DAIRA","WILAYA"
"1",2,201,201,"Chlef",125.83,178616,3,0,0,0,"Chlef","Chlef"
"2",2,201,219,"Sendjas",218.46,29043,0,0,0,0,"Chlef","Chlef"
"3",2,201,233,"Oum Drou",59.71,21326,0,0,0,0,"Chlef","Chlef"
"4",2,202,202,"Tenes",92.28,35459,2,0,0,0,"Tenes","Chlef"
"5",2,202,211,"Sidi Akkacha",129.19,26595,0,0,0,0,"Tenes","Chlef"
"6",2,204,204,"El Karimia",95.85,28821,0,0,0,0,"El Karimia","Chlef"
"7",2,204,209,"Harchoune",80.28,17873,0,0,0,0,"El Karimia","Chlef"
"8",2,204,235,"Beni Bouattab",120.39,2069,0,0,0,0,"El Karimia","Chlef"
"9",2,206,206,"Taougrit",185.73,27574,0,0,0,0,"Taougrit","Chlef"
"10",2,206,217,"Dahra",207.15,23802,0,0,0,0,"Taougrit","Chlef"
"11",2,207,216,"Oued Goussine",78.83,6453,0,0,0,0,"Beni Haoua","Chlef"
"12",2,207,234,"Breira",72.3,13200,0,0,0,0,"Beni Haoua","Chlef"
"13",2,207,207,"Beni Haoua",112.57,20853,0,0,0,0,"Beni Haoua","Chlef"
"14",2,210,210,"Ouled Fares",243.75,34891,0,0,0,0,"Ouled Fares","Chlef"
"15",2,210,224,"Chettia",38.03,71408,1,0,0,0,"Ouled Fares","Chlef"
"16",2,210,228,"Labiod Medjadja",106.5,14733,0,0,0,0,"Ouled Fares","Chlef"
"17",2,212,208,"Sobha",182.54,34455,1,0,0,0,"Boukadir","Chlef"
"18",2,212,212,"Boukadir",222.43,51340,0,0,0,0,"Boukadir","Chlef"
"19",2,212,221,"Oued Sly",103.03,47248,0,0,0,0,"Boukadir","Chlef"
"20",2,220,220,"Zeboudja",135.17,26539,0,0,0,0,"Zeboudja","Chlef"
"21",2,220,203,"Benairia",60.65,15697,0,0,0,0,"Zeboudja","Chlef"
"22",2,220,231,"Bouzeghaia",137.67,22590,0,0,0,0,"Zeboudja","Chlef"
"23",2,222,214,"Telassa",69.72,11503,0,0,0,0,"Abou El Hassen","Chlef"
"24",2,222,222,"Abou El Hassen",81.1,22756,0,0,0,0,"Abou El Hassen","Chlef"
"25",2,222,205,"Tadjena",116.59,24413,0,0,0,0,"Abou El Hassen","Chlef"
"26",2,222,225,"Sidi Abderrahmane",75.09,4349,0,0,0,0,"Abou El Hassen","Chlef"
"27",2,223,226,"Moussadek",63.21,6380,0,0,0,0,"El Marsa","Chlef"
"28",2,223,223,"El Marsa",119.08,10807,0,0,0,0,"El Marsa","Chlef"
"29",2,229,218,"Ouled Abbes",42.5,8578,0,0,0,0,"Oued Fodda","Chlef"
"30",2,229,213,"Beni Rached",105,23449,0,0,0,0,"Oued Fodda","Chlef"
"31",2,229,229,"Oued Fodda",70.41,41710,0,0,0,0,"Oued Fodda","Chlef"
"32",2,230,230,"Ouled Ben Abdelkader",182.47,19952,0,0,0,0,"Ouled Ben Abdelkader","Chlef"
"33",2,230,227,"El Hadjadj",98.55,8478,0,0,0,0,"Ouled Ben Abdelkader","Chlef"
"34",2,232,215,"Herenfa",141.01,17799,0,0,0,0,"Ain Merrane","Chlef"
"35",2,232,232,"Ain Merrane",101.64,51326,0,0,0,0,"Ain Merrane","Chlef"
"36",3,301,301,"Laghouat",400,267834,2,1,9,11,"Laghouat","Laghouat"
"37",3,302,302,"Ksar Hirane",1240,32387,1,0,1,4,"Ksar Hirane","Laghouat"
"38",3,302,303,"Bennasser Benchohra",1460,14929,0,0,1,3,"Ksar Hirane","Laghouat"
"39",3,304,304,"Sidi Makhlouf",1420,17252,0,0,1,4,"Sidi Makhlouf","Laghouat"
"40",3,304,320,"El Assafia",420,10642,0,0,1,3,"Sidi Makhlouf","Laghouat"
"41",3,306,305,"Hassi Delaa",3955,20801,0,0,1,1,"Hassi R'Mel","Laghouat"
"42",3,306,306,"Hassi R'Mel",1957,31093,0,0,2,2,"Hassi R'Mel","Laghouat"
"43",3,307,307,"Ain Madhi",1790,17240,0,0,0,1,"Ain Madhi","Laghouat"
"44",3,307,309,"Kheneg",3830,21639,0,0,1,2,"Ain Madhi","Laghouat"
"45",3,307,318,"Tadjrouna",1130,6309,0,0,0,2,"Ain Madhi","Laghouat"
"46",3,307,323,"El Haouaita",405,3075,0,0,0,1,"Ain Madhi","Laghouat"
"47",3,307,308,"Tadjemout",620,6309,0,0,0,4,"Ain Madhi","Laghouat"
"48",3,310,310,"Gueltat Sidi Saad",1040,17906,0,0,1,5,"Gueltat Sidi Saad","Laghouat"
"49",3,310,311,"Ain Sidi Ali",410,11894,0,0,1,2,"Gueltat Sidi Saad","Laghouat"
"50",3,310,312,"El Beidha",780,11797,0,0,1,1,"Gueltat Sidi Saad","Laghouat"
"51",3,313,313,"Brida",355,8426,0,0,1,4,"Brida","Laghouat"
"52",3,313,317,"Taouala",255,4072,0,0,1,3,"Brida","Laghouat"
"53",3,313,315,"Hadj Mechri",375,8792,0,0,1,6,"Brida","Laghouat"
"54",3,314,314,"El Ghicha",7300,8048,0,0,1,4,"El Ghicha","Laghouat"
"55",3,319,316,"Sebgag",385,8019,0,0,1,2,"Aflou","Laghouat"
"56",3,319,319,"Aflou",405,163334,1,1,7,10,"Aflou","Laghouat"
"57",3,319,324,"Sidi Bouzid",860,8055,0,0,1,3,"Aflou","Laghouat"
"58",3,321,321,"Oued Mora",360,9491,0,0,1,5,"Oued Mora","Laghouat"
"59",3,321,322,"Oued M'Zi",425,4292,0,0,0,0,"Oued Mora","Laghouat"
"60",17,1701,1701,"Djelfa",542.17,289226,2,2,0,0,"Djelfa","Djelfa"
"61",17,1704,1716,"Hassi El Euch",509.14,11692,0,0,1,0,"Hassi Bahbah","Djelfa"
"62",17,1704,1705,"Ain Maabed",328.02,19997,0,0,1,0,"Hassi Bahbah","Djelfa"
"63",17,1704,1728,"Zaafrane",1197.8,12972,0,0,1,0,"Hassi Bahbah","Djelfa"
"64",17,1704,1704,"Hassi Bahbah",773.74,86421,1,0,2,0,"Hassi Bahbah","Djelfa"
"65",17,1707,1734,"Amourah",1052.4,7744,0,0,0,0,"Faidh El Botma","Djelfa"
"66",17,1707,1707,"Faidh El Botma",868,32501,0,0,1,0,"Faidh El Botma","Djelfa"
"67",17,1707,1724,"Oum Laadham",3888.72,23051,0,0,0,0,"Faidh El Botma","Djelfa"
"68",17,1708,1732,"Benhar",1070,17207,0,0,1,0,"Birine","Djelfa"
"69",17,1708,1708,"Birine",800,30913,1,0,1,0,"Birine","Djelfa"
"70",17,1714,1714,"El Idrissia",375.09,32900,1,0,1,0,"El Idrissia","Djelfa"
"71",17,1714,1715,"Douis",502.76,9344,0,0,0,0,"El Idrissia","Djelfa"
"72",17,1714,1723,"Ain Chouhada",211.25,4549,0,0,0,0,"El Idrissia","Djelfa"
"73",17,1717,1706,"Sed Rahal",950,13693,0,0,0,0,"Messaad","Djelfa"
"74",17,1717,1722,"Selmana",1894,19471,0,0,0,0,"Messaad","Djelfa"
"75",17,1717,1718,"Guettara",4864.3,9926,0,0,1,0,"Messaad","Djelfa"
"76",17,1717,1729,"Deldoul",1865,11230,0,0,0,0,"Messaad","Djelfa"
"77",17,1717,1717,"Messaad",147.76,102453,1,0,2,0,"Messaad","Djelfa"
"78",17,1719,1711,"El Khemis",500.24,5405,0,0,1,0,"Sidi Ladjel","Djelfa"
"79",17,1719,1719,"Sidi Ladjel",373.11,13661,0,0,1,0,"Sidi Ladjel","Djelfa"
"80",17,1719,1733,"Hassi Fedoul",491.51,13171,0,0,1,0,"Sidi Ladjel","Djelfa"
"81",17,1720,1720,"Had Sahary",854.09,30451,0,0,1,0,"Had Sahary","Djelfa"
"82",17,1720,1709,"Bouira Lahdab",378.4,10993,0,0,1,0,"Had Sahary","Djelfa"
"83",17,1720,1735,"Ain Fekka",464.24,23404,0,0,1,0,"Had Sahary","Djelfa"
"84",17,1725,1712,"Sidi Baizid",523.9,7933,0,0,1,0,"Dar Chioukh","Djelfa"
"85",17,1725,1713,"M'Liliha",908.07,14242,0,0,1,0,"Dar Chioukh","Djelfa"
"86",17,1725,1725,"Dar Chioukh",338.7,30372,1,0,1,0,"Dar Chioukh","Djelfa"
"87",17,1726,1726,"Charef",590.55,24028,0,0,1,0,"Charef","Djelfa"
"88",17,1726,1703,"El Guedid",1152.16,12833,0,0,1,0,"Charef","Djelfa"
"89",17,1726,1727,"Benyacoub",194.17,9940,0,0,0,0,"Charef","Djelfa"
"90",17,1730,1702,"Moudjebara",737.7,14052,0,0,1,0,"Ain El Ibel","Djelfa"
"91",17,1730,1736,"Tadmit",788.58,10359,0,0,0,0,"Ain El Ibel","Djelfa"
"92",17,1730,1730,"Ain El Ibel",562.37,28406,0,0,1,0,"Ain El Ibel","Djelfa"
"93",17,1730,1710,"Zaccar",225.02,1809,0,0,0,0,"Ain El Ibel","Djelfa"
"94",17,1731,1721,"Guernini",523.9,4594,0,0,1,0,"Ain Oussera","Djelfa"
"95",17,1731,1731,"Ain Oussera",809.49,101239,1,0,3,0,"Ain Oussera","Djelfa"
"96",26,2601,2601,"Medea",63.5,158561,1,0,0,0,"Medea","Medea"
"97",26,2601,2615,"Tamezguida",99,4180,0,0,0,0,"Medea","Medea"
"98",26,2601,2654,"Draa Smar",40,13165,0,0,0,0,"Medea","Medea"
"99",26,2602,2630,"Ben Chicao",59,10757,0,0,0,0,"Ouezra","Medea"
"100",26,2602,2613,"Tizi Mahdi",38,2038,0,0,0,0,"Ouezra","Medea"
"101",26,2602,2616,"El Hamdania",139,1900,0,0,0,0,"Ouezra","Medea"
"102",26,2602,2602,"Ouezra",101,14196,0,0,0,0,"Ouezra","Medea"
"103",26,2604,2657,"El Ouinet",61,5438,0,0,0,0,"Ain Boucif","Medea"
"104",26,2604,2631,"Sidi Damed",160,7013,0,0,0,0,"Ain Boucif","Medea"
"105",26,2604,2617,"El Kaf Lakhdar",107.99,4862,0,0,0,0,"Ain Boucif","Medea"
"106",26,2604,2603,"Ouled Maaraf",192,9136,0,0,0,0,"Ain Boucif","Medea"
"107",26,2604,2604,"Ain Boucif",314.42,28112,1,0,0,0,"Ain Boucif","Medea"
"108",26,2607,2612,"Ouled Brahim",61.87,12148,0,0,0,0,"El Oumaria","Medea"
"109",26,2607,2607,"El Oumaria",115.32,25058,0,0,0,0,"El Oumaria","Medea"
"110",26,2607,2624,"Baata",116,176,0,0,0,0,"El Oumaria","Medea"
"111",26,2609,2609,"El Guelb El Kebir",126.17,10841,0,0,0,0,"El Guelb El Kebir","Medea"
"112",26,2609,2661,"Sedraya",66,8506,0,0,0,0,"El Guelb El Kebir","Medea"
"113",26,2609,2656,"Bir Ben Laabed",64.2,14293,0,0,0,0,"El Guelb El Kebir","Medea"
"114",26,2618,2640,"Cheniguel",164,8523,0,0,0,0,"Chellalet Ladhaoura","Medea"
"115",26,2618,2623,"Tafraout",105,3773,0,0,0,0,"Chellalet Ladhaoura","Medea"
"116",26,2618,2618,"Chellalet Ladhaoura",143,33163,0,0,0,0,"Chellalet Ladhaoura","Medea"
"117",26,2618,2641,"Ain Ouksir",257.34,4738,0,0,0,0,"Chellalet Ladhaoura","Medea"
"118",26,2626,2626,"Sidi Naamane",136.8,14213,0,0,0,0,"Sidi Naamane","Medea"
"119",26,2626,2621,"Boucherahil",210.92,6751,0,0,0,0,"Sidi Naamane","Medea"
"120",26,2626,2663,"Khams Djouamaa",62,14834,0,0,0,0,"Sidi Naamane","Medea"
"121",26,2632,2608,"Derrag",250.4,6797,0,0,0,0,"Azziz","Medea"
"122",26,2632,2642,"Oum El Djellil",74,3579,0,0,0,0,"Azziz","Medea"
"123",26,2632,2632,"Azziz",545.52,10847,0,0,0,0,"Azziz","Medea"
"124",26,2633,2614,"Sidi Ziane",63.77,2086,0,0,0,0,"Souagui","Medea"
"125",26,2633,2633,"Souagui",136.6,12157,0,0,0,0,"Souagui","Medea"
"126",26,2633,2637,"Djouab",105,5268,0,0,0,0,"Souagui","Medea"
"127",26,2633,2628,"Sidi Zahar",76.37,2086,0,0,0,0,"Souagui","Medea"
"128",26,2635,2649,"Meftaha",148.25,8319,0,0,0,0,"Ksar El Boukhari","Medea"
"129",26,2635,2664,"Saneg",76.32,3985,0,0,0,0,"Ksar El Boukhari","Medea"
"130",26,2635,2635,"Ksar El Boukhari",53.87,89853,1,0,0,0,"Ksar El Boukhari","Medea"
"131",26,2636,2636,"Azzizia",47,9111,0,0,0,0,"Azzizia","Medea"
"132",26,2636,2650,"Mihoub",104.92,13092,0,0,0,0,"Azzizia","Medea"
"133",26,2636,2639,"Megheraoua",71.2,5969,0,0,0,0,"Azzizia","Medea"
"134",26,2638,2638,"Chahbounia",522.37,13876,0,0,0,0,"Chahbounia","Medea"
"135",26,2638,2610,"Bouaiche",544.18,9167,0,0,0,0,"Chahbounia","Medea"
"136",26,2638,2651,"Boughezoul",448,21121,0,0,0,0,"Chahbounia","Medea"
"137",26,2643,2643,"Ouamri",88,17625,0,0,0,0,"Ouamri","Medea"
"138",26,2643,2660,"Hannacha",54,3983,0,0,0,0,"Ouamri","Medea"
"139",26,2643,2629,"Oued Harbil",62,2055,0,0,0,0,"Ouamri","Medea"
"140",26,2644,2627,"Ouled Bouachra",101,497,0,0,0,0,"Si El Mahdjoub","Medea"
"141",26,2644,2659,"Bouaichoune",77,4661,0,0,0,0,"Si El Mahdjoub","Medea"
"142",26,2644,2644,"Si El Mahdjoub",51,9470,0,0,0,0,"Si El Mahdjoub","Medea"
"143",26,2646,2619,"Bouskene",98.7,10325,0,0,0,0,"Beni Slimane","Medea"
"144",26,2646,2655,"Sidi Errabia",51.95,5019,0,0,0,0,"Beni Slimane","Medea"
"145",26,2646,2646,"Beni Slimane",92.8,36610,1,0,0,0,"Beni Slimane","Medea"
"146",26,2647,2647,"Berrouaghia",161.32,61841,1,0,0,0,"Berrouaghia","Medea"
"147",26,2647,2620,"Roubia",155,3726,0,0,0,0,"Berrouaghia","Medea"
"148",26,2647,2606,"Ouled Daid",145,6152,0,0,0,0,"Berrouaghia","Medea"
"149",26,2648,2662,"Medjebar",83.8,5134,0,0,0,0,"seghouane","Medea"
"150",26,2648,2648,"seghouane",75,4517,0,0,0,0,"seghouane","Medea"
"151",26,2648,2634,"Zoubiria",207.4,5158,0,0,0,0,"seghouane","Medea"
"152",26,2648,2645,"Thleth Douair",136,7643,0,0,0,0,"seghouane","Medea"
"153",26,2652,2611,"Mezrenna",120.16,6016,0,0,0,0,"Tablat","Medea"
"154",26,2652,2653,"Deux Bassins",40.57,2252,0,0,0,0,"Tablat","Medea"
"155",26,2652,2605,"Aissaouia",70,1950,0,0,0,0,"Tablat","Medea"
"156",26,2652,2652,"Tablat",77.5,27497,1,0,0,0,"Tablat","Medea"
"157",26,2658,2622,"Ouled Hellal",208.42,3773,0,0,0,0,"Ouled Antar","Medea"
"158",26,2658,2658,"Ouled Antar",224.78,2457,0,0,0,0,"Ouled Antar","Medea"
"159",26,2658,2625,"Boughar",122.95,6084,0,0,0,0,"Ouled Antar","Medea"
"160",28,2801,2801,"M'Sila",232,250144,1,0,0,0,"M'Sila","Msila"
"161",28,2803,2805,"Tarmount",324,12320,0,0,0,0,"Hammam Dalaa","Msila"
"162",28,2803,2803,"Hammam Dalaa",341,49524,0,0,0,0,"Hammam Dalaa","Msila"
"163",28,2803,2828,"Ouled Mansour",330,8203,0,0,0,0,"Hammam Dalaa","Msila"
"164",28,2803,2819,"Ouanougha",163,17821,0,0,0,0,"Hammam Dalaa","Msila"
"165",28,2804,2802,"Maadid",264,30460,0,0,0,0,"Ouled Derradj","Msila"
"166",28,2804,2840,"Soumaa",378,10114,0,0,0,0,"Ouled Derradj","Msila"
"167",28,2804,2804,"Ouled Derradj",239,34398,0,0,0,0,"Ouled Derradj","Msila"
"168",28,2804,2806,"M'Tarfa",224,11732,0,0,0,0,"Ouled Derradj","Msila"
"169",28,2804,2814,"Ouled Addi Guebala",317,30388,0,0,0,0,"Ouled Derradj","Msila"
"170",28,2807,2808,"M'Cif",381,16278,0,0,0,0,"Khoubana","Msila"
"171",28,2807,2826,"El Houamed",1745,10168,0,0,0,0,"Khoubana","Msila"
"172",28,2807,2807,"Khoubana",364,11935,0,0,0,0,"Khoubana","Msila"
"173",28,2809,2829,"Maarif",390,17248,0,0,0,0,"Chellal","Msila"
"174",28,2809,2809,"Chellal",270,6961,0,0,0,0,"Chellal","Msila"
"175",28,2809,2810,"Ouled Madhi",290,10357,0,0,0,0,"Chellal","Msila"
"176",28,2809,2832,"Khatouti Sed Eldjir",525,10740,0,0,0,0,"Chellal","Msila"
"177",28,2811,2830,"Dehahna",90,9582,0,0,0,0,"Magra","Msila"
"178",28,2811,2813,"Ain Khadra",157,34679,0,0,0,0,"Magra","Msila"
"179",28,2811,2812,"Berhoum",89,33900,0,0,0,0,"Magra","Msila"
"180",28,2811,2811,"Magra",272,56133,1,0,0,0,"Magra","Msila"
"181",28,2811,2815,"Belaiba",170,32344,0,0,0,0,"Magra","Msila"
"182",28,2816,2816,"Sidi Aissa",411,101331,1,0,0,0,"Sidi Aissa","Msila"
"183",28,2816,2831,"Bouti Sayeh",105,12761,0,0,0,0,"Sidi Aissa","Msila"
"184",28,2816,2845,"Beni Ilmane",125,11483,0,0,0,0,"Sidi Aissa","Msila"
"185",28,2817,2817,"Ain El Hadjel",387,42596,0,0,0,0,"Ain El Hadjel","Msila"
"186",28,2817,2818,"Sidi Hadjeres",552,9007,0,0,0,0,"Ain El Hadjel","Msila"
"187",28,2820,2820,"Bou Saada",248,170139,1,0,0,0,"Bou Saada","Msila"
"188",28,2820,2846,"Oultene",177,3252,0,0,0,0,"Bou Saada","Msila"
"189",28,2820,2827,"Hamel",169,14274,0,0,0,0,"Bou Saada","Msila"
"190",28,2821,2835,"Benzouh",350,7558,0,0,0,0,"Ouled Sidi Brahim","Msila"
"191",28,2821,2821,"Ouled Sidi Brahim",234,14163,0,0,0,0,"Ouled Sidi Brahim","Msila"
"192",28,2822,2823,"Tamsa",573,10059,0,0,0,0,"Sidi Ameur","Msila"
"193",28,2822,2822,"Sidi Ameur",930,27247,0,0,0,0,"Sidi Ameur","Msila"
"194",28,2824,2834,"Mohamed Boudiaf",653,19559,0,0,0,0,"Ben Srour","Msila"
"195",28,2824,2824,"Ben Srour",464,31643,1,0,0,0,"Ben Srour","Msila"
"196",28,2824,2825,"Ouled Slimane",317,8084,0,0,0,0,"Ben Srour","Msila"
"197",28,2824,2833,"Zarzour",240,8008,0,0,0,0,"Ben Srour","Msila"
"198",28,2841,2836,"Bir Foda",450,6418,0,0,0,0,"Ain El Melh","Msila"
"199",28,2841,2837,"Ain Fares",455,5841,0,0,0,0,"Ain El Melh","Msila"
"200",28,2841,2838,"Sidi M'Hamed",177,10082,0,0,0,0,"Ain El Melh","Msila"
"201",28,2841,2844,"Ain Errich",1212,24410,0,0,0,0,"Ain El Melh","Msila"
"202",28,2841,2841,"Ain El Melh",271,55617,1,0,0,0,"Ain El Melh","Msila"
"203",28,2842,2839,"Menaa",300,11808,0,0,0,0,"Medjedel","Msila"
"204",28,2842,2842,"Medjedel",596,26479,0,0,0,0,"Medjedel","Msila"
"205",28,2847,2843,"Slim",540,7539,0,0,0,0,"Djebel Messaad","Msila"
"206",28,2847,2847,"Djebel Messaad",684,17270,0,0,0,0,"Djebel Messaad","Msila"
"207",44,4401,4401,"Ain Defla",105,90201,1,0,0,0,"Ain Defla","Aindefla"
"208",44,4402,4402,"Miliana",39,52116,1,0,0,0,"Miliana","Aindefla"
"209",44,4402,4425,"Ben Allal",143,10971,0,0,0,0,"Miliana","Aindefla"
"210",44,4403,4403,"Boumedfaa",129,27981,0,0,0,0,"Boumedfaa","Aindefla"
"211",44,4403,4427,"Hoceinia",71,8139,0,0,0,0,"Boumedfaa","Aindefla"
"212",44,4404,4424,"Sidi Lakhdar",35,28361,0,0,0,0,"Khemis Miliana","Aindefla"
"213",44,4404,4404,"Khemis Miliana",41,102453,1,0,0,0,"Khemis Miliana","Aindefla"
"214",44,4405,4405,"Hammam Righa",82,10878,0,0,0,0,"Hammam Righa","Aindefla"
"215",44,4405,4426,"Ain Benian",31,6921,0,0,0,0,"Hammam Righa","Aindefla"
"216",44,4405,4423,"Ain Tork",100,11768,0,0,0,0,"Hammam Righa","Aindefla"
"217",44,4407,4407,"Djelida",204,46186,0,0,0,0,"Djelida","Aindefla"
"218",44,4407,4429,"Djemaa Ouled Cheikh",137,8482,0,0,0,0,"Djelida","Aindefla"
"219",44,4407,4409,"Bourached",122,36393,0,0,0,0,"Djelida","Aindefla"
"220",44,4408,4408,"El Amra",180,40315,0,0,0,0,"El Amra","Aindefla"
"221",44,4408,4430,"Mekhatria",104,20918,0,0,0,0,"El Amra","Aindefla"
"222",44,4408,4406,"Arib",219,32368,0,0,0,0,"El Amra","Aindefla"
"223",44,4410,4410,"El Attaf",84,70892,1,0,0,0,"El Attaf","Aindefla"
"224",44,4410,4435,"Tiberkanine",107,18931,0,0,0,0,"El Attaf","Aindefla"
"225",44,4411,4432,"Tacheta Zegagha",182,30034,0,0,0,0,"El Abadia","Aindefla"
"226",44,4411,4433,"Ain Bouyahia",136,20285,0,0,0,0,"El Abadia","Aindefla"
"227",44,4411,4411,"El Abadia",105,54531,0,0,0,0,"El Abadia","Aindefla"
"228",44,4412,4412,"Djendel",162,35910,0,0,0,0,"Djendel","Aindefla"
"229",44,4412,4413,"Oued Chorfa",79,15765,0,0,0,0,"Djendel","Aindefla"
"230",44,4412,4428,"Barbouche",75,5280,0,0,0,0,"Djendel","Aindefla"
"231",44,4414,4420,"Ain Soltane",105,26911,0,0,0,0,"Ain Lechiakh","Aindefla"
"232",44,4414,4414,"Ain Lechiakh",133,16582,0,0,0,0,"Ain Lechiakh","Aindefla"
"233",44,4414,4415,"Oued Djemaa",244,9246,0,0,0,0,"Ain Lechiakh","Aindefla"
"234",44,4416,4417,"Zeddine",106,16474,0,0,0,0,"Rouina","Aindefla"
"235",44,4416,4434,"El Maine",174,15466,0,0,0,0,"Rouina","Aindefla"
"236",44,4416,4416,"Rouina",59,29294,0,0,0,0,"Rouina","Aindefla"
"237",44,4422,4421,"Tarik Ibn-Ziad",406,11239,0,0,0,0,"Bordj Emir Khaled","Aindefla"
"238",44,4422,4422,"Bordj Emir Khaled",170,11035,0,0,0,0,"Bordj Emir Khaled","Aindefla"
"239",44,4422,4419,"Bir Ould Khelifa",66,16893,0,0,0,0,"Bordj Emir Khaled","Aindefla"
"240",44,4431,4418,"El Hassania",147,3673,0,0,0,0,"Bathia","Aindefla"
"241",44,4431,4431,"Bathia",105,6780,0,0,0,0,"Bathia","Aindefla"
"242",44,4431,4436,"Belaas",152,5743,0,0,0,0,"Bathia","Aindefla"
